Index,Comment,Height(Inches),Extra,Weight(Pounds)
5894,"Fly,Doctor|But|",66.64158,,118.8403
5895,,66.52425,Trade	Think Performance ,123.8263
5896,Save	Stand;,70.46871,"American,Wait,",145.1333
5897,Suggest ,65.93944,"Benefit
Wonder|Adult
Day ",122.5218
5898,"Development,Itself|Surface,Least,Human	Ready Together;Yeah
",66.70213,"Study	Rise;Paper;Theory
Which ",133.2482
5899,"Figure	Pattern|Example;Leg|Director|Long,Whether;One ",64.60008,"It Fire;Measure Probably|Various,Style Audience;Edge	",113.2583
5900,,67.22989,Two|Trial|,124.304
5901,Both;Their;,67.76131,Analysis ,140.08
5902,"Third South
Risk Language
Notice,Office,Should Condition Society	Public
",65.63379,"Society;Leg,Process,Huge ",111.9369
5903,"Foot
Analysis,Knowledge|Floor,Although	Would Spend,Outside
Never
",69.74489,Policy|,135.7224
5904,"May;Style Side,Moment|Practice
",69.74892,Provide	Catch	Forward;,125.5452
5905,"There|Small Improve|Operation;Technology Sell|Officer,Above|Approach	",66.1265,"Country
Something;Risk,Me|Deep	",121.3924
5906,"Easy
Fire
Issue;Me Meet|Particularly
",69.56993,"Executive
Thing Customer
Him
",134.1461
5907,Congress|Us ,69.4781,New;,129.5945
5908,"Even;Live
Life|Think Onto
Bill,Check,Chair Money Far|",69.251,"Write	Could|Scientist|Child
Like;Choice ",135.8543
5909,"Statement Bill,Letter
",65.88081,Public	Occur|,116.0534
5910,"Such
Prove	Himself
Much
Stand,Guess|Professional Recent
Receive Anything,",65.85276,"Military Civil,Hold|Condition;Happy
Order;Dog;Five|Quite|Night,",117.3475
5911,Television|,69.53098,"Inside,Hundred|Rest
North
East|",138.892
5912,"Ahead	Throughout,Beyond ",67.702,"Spend
",119.1475
5913,"Foreign;Baby;Long;Dog|Name;Many;Call
",66.31858,Recently Where Build Reduce|Artist Politics ,132.1847
5914,Activity	Less|,65.68324,"Reduce|Could|Television
Without,Their,Effort Maintain;Dream Sign
",111.7099
5915,"Opportunity|Pass Trip;Enjoy	Debate,Oil,Improve
Role
Finish ",66.8561,"Either;Tell
Deal	Scientist,Government Media Night ",142.4656
5916,"Painting Have
Better
High;Force
Protect
Certainly
Consumer	",69.0744,"Under
Goal	Kind Idea|",120.1102
5917,"Arm Beyond;Question
",66.66269,"Next|Subject Life	Inside,Him	Hit	Benefit|Your	Wish	Stop	",110.537
5918,Lay Wind|Congress;Where	Congress|,66.5834,"Avoid Rock Moment|Campaign Daughter,Home|",127.299
5919,"Democratic;Outside
Middle Red,Citizen,Action;",67.70926,"Whose
Office,Author Position|Trouble Fly Project,",132.0492
5920,"Majority|Among,Discussion Wind
Member;",68.19135,"Service Bed
Until	Situation|Force;Former	Night;Role|Know	Power ",116.3223
5921,"Drug;Serious	Really	Myself Congress,Design,Itself	Mind,Two	",66.85165,"Pick
Plan
Responsibility;Beat,Standard|",117.069
5922,"In
",68.99365,When;,124.2528
5923,"Eye,",68.96601,"Seek	Hit,Into,Up
Middle
Something	Thought|Half|",130.3402
5924,"Available|White;Seem Product
Oil
Several
Cost	Training ",70.93465,"Than	Treatment	Ok,Bank|Talk
",137.3957
5925,Necessary|,69.53833,Forward|,133.2753
5926,,66.13819,Agent	Both Painting Movie Matter	Consider|Part|,107.2152
5927,"Without|Population	Production	Run Traditional|Investment;Deal
Save Condition|Maybe ",66.02829,"Subject
By	Prevent;Share ",110.0063
5928,"Result;Ahead Enjoy
Medical	",70.24533,"Statement,",149.8284
5929,Election Seek Report|Audience ,67.86194,"Phone
Soon
Recently	Election|Option	",117.9091
5930,"North Executive;Letter
",67.23322,Matter;,126.0349
5931,"To;Better;Special	Green	None
Interesting Rich|",67.50164,"This,Box|Seek|Late
Anyone|Environmental	Example,Impact|Line,Ok	",113.9574
5932,"Travel,Else|Meet;International;Oil
Specific
Rest|",71.23342,,140.2096
5933,Per;,69.88821,"Individual
Attack|Tonight Soldier,Organization;Standard General,Item	Radio	",151.7165
5934,Present|,67.85973,"Social By|Represent
Police|Too Size;Senior,Small,",117.4995
5935,"Region;Seek|Garden
Fund;Product,Itself|Among,Across	Under,Bank;",69.22897,Citizen	,129.2885
5936,"Identify
Party;",65.35526,"Teach|Alone
Understand	",120.6695
5937,,65.52588,"Walk,Usually Door Scene|Player
Second
Film|Political|Democrat;",112.762
5938,"Me,Discussion|Bed
Style	Subject,Present,Few	Who
Receive
",70.8509,,130.0362
5939,,65.17021,"Responsibility,Former;Reveal;Alone;Amount,",111.9882
5940,,65.35895,"White Begin Scientist,Fine;Control
Career;They	Girl|Church Stage;",107.5214
5941,"Option Walk;Seat	Best|Free|Ahead|Little
Half
Score,Talk;",64.77466,"Next,Crime|Firm	Probably;Wrong;Direction Inside;Of
Several Girl
",127.5588
5942,,65.07433,"White
Fly;",119.1591
5943,,66.32264,"In Both	System Despite,Traditional,Stock,Enough,Consider,Suggest	Simple|",109.9997
5944,"Likely Wonder|Southern;Recently,Sit;Capital,Safe;Bad	",70.25829,"Mind,Company;Water;Try	Near	Lay|",129.6662
5945,"Thank
Voice|Group|Minute Scene,Professional	",68.46057,,135.197
5946,"Wind Detail Pretty
Father;",67.32406,"Particular Off|Model
Himself|Activity
",133.8561
5947,"Home;Head	Safe|Whatever	Full,Political;Seek;Feel	Energy ",69.53655,"Across|While Pick,Foot End,Information,Section ",132.6168
5948,,66.72552,"Per;Off|Time|Daughter;Up	Plan|Southern;Technology
",111.4197
5949,"Gas Case Reach;Receive|Begin,Million;Few	Daughter Effect,Employee	",69.04313,"Since
Likely|Goal Particularly,Method;",109.6263
5950,Four	Region|,67.63395,Result Get;Able;Turn Concern	Artist|Drop|,123.3522
5951,"Politics Conference|Some;Explain,Daughter|",67.68225,"Threat;General;Not|Surface
End|Vote
Study ",130.9284
5952,"Street|Doctor,Lawyer ",67.20527,"Performance,Later Probably|Man|Meeting|Of;Company|Let|Young|",132.5174
5953,"Music;Tax
Across|Together
North ",68.57727,"Believe|Agency;Sound,",113.3802
5954,Skin;Hundred|South;Support ,69.81593,"Indicate,Charge
Service
Heavy
Consider,",124.0074
5955,Security ,67.27727,"South	Record	Spend Grow	Tree Personal
Wonder	Either|Free,",111.7334
5956,"Brother
Arm
View,Popular|Role|Set|",70.77213,"Represent
Blood|Become ",140.6956
5957,,64.39879,"Arm;Add,Road
Tax|Feel;Work;Current
",112.6936
5958,,67.32911,"Few|Specific Culture
",119.5627
5959,"Me,Hold
",68.56564,"Writer|Mission|Claim	Radio,Second,Around	Also
Air ",137.7463
5960,"Wonder Have	Forget Carry,",70.12937,"Color	Character,Guess Man	Season
Them Agreement;Heart	Agent|Tonight,",128.2247
5961,"Nothing Us;Whose
More End;Half;",70.50405,"Life|Drive;Skill;Which,Card
",111.7906
5962,"Thus Bit,Far|Rock|Site
Sing
",67.69242,"Example
Develop	Company;Set Discover|Various|Air;Fund
Whether
",135.8347
5963,"Shoulder
Fear	Far	Organization,Media
Remain;Attorney
",66.15337,,123.5173
5964,"Itself
Respond Claim|Him,Energy,Pressure|",67.04967,Think American|Side Action Western;Lot|,121.4366
5965,"Billion,Room	Nothing|Close|Air Hundred|Between|Already Finish;Former ",67.14891,,132.7812
5966,"Sing,Worry	",68.06454,,131.8433
5967,"Shake
",66.40213,Must	Bag|Lot ,141.9992
5968,"Model
Question
Quite|Well;",68.74408,"Drop|High,Offer;Face
Performance Protect
Sense	Its	Poor ",123.0744
5969,"Piece
",68.28835,,129.5032
5970,"Table|Group,",68.49705,"Score
Religious,",148.1317
5971,"Material Citizen	Director|Court Write|Usually,Environment
Pass Worry	",69.61735,"Kid;Through;Let,People;None Land,Again|Fund	",131.6342
5972,"Half	Production,Relationship,Such|Answer;Significant
Book;Girl,",65.46622,"Suffer;All Me
Consider Card Marriage|Certain|Begin,Matter	Smile|",118.5369
5973,"Kind
Report|",68.4357,"East,Social,Both	Administration|Book,Gun	Own,Focus|",102.342
5974,"West Live	Smile|After Trade,Term,As
Attack	",66.21604,"Little,Wide Coach|She,Source|",118.1429
5975,,71.1547,Director Its|Tv ,137.0264
5976,"Whom,Throw	Perform,Imagine	Task;Method;While
Your,",65.50148,"American
Popular
By
Oil Drop Song Could
Special	Cause|",106.2971
5977,"Pass,Than Long Organization	Fast;Specific	Start	",70.46899,"Research
Really;Down;Leave;Other ",140.2618
5978,"Relationship,Identify	Thus,",67.60018,"Manager
Media;Region,Maybe;",123.0
5979,True International|Physical ,69.30591,"Wrong;Wind;Ready Section
Federal|Throughout Eat Per
Decade
Themselves ",123.2186
5980,Popular;Lead|,65.67069,"Owner;Capital,These|Although	Amount	Culture
Suggest|",122.2368
5981,"Generation;Wonder,Leave	Theory	",67.36778,"Visit Design	Agent Surface;Myself,",117.442
5982,"Service,Whom
",68.47589,"Administration Find,Quite Edge Wrong North	Draw;Fear Huge|Allow|",137.8969
5983,"Field Kitchen|Effect,Group,Answer
Rate
",69.72743,Civil	,134.3279
5984,"Financial,Story,Heavy;Cover Show	Administration
Blue
",68.84393,,117.6781
5985,"Arrive|Full	Last;Serious Major,Nearly,Order,Item	Mouth
",69.19121,"Chance|Into,Woman,Throughout|Use|Standard;Should
Although;Nice|",129.7261
5986,Market	,68.51219,,133.2155
5987,"Big|Significant	Always,Beyond
Arm
Beat|Treat|Actually;Page	",66.30328,"Side
Father Increase|Game	",113.0214
5988,"As House,Cold;One|Together;Discover
",72.1518,"Compare|World|Compare,Pull|Heavy	Expect Fill|Vote ",124.9451
5989,"House|Study According
Partner;Single	",68.31371,"Apply|Side;Question	Example;Hand,Power	Spend,Within;",128.7378
5990,"Value	Ground
There,Somebody Summer,Card|Nearly
Government
Wide;Claim ",66.21908,"Individual,Agency	Second;Culture ",99.78213
5991,"Apply
Vote Series
Maintain	White|Test
Long,Service,Memory
New	",64.60633,"Last|Fall;Live	Play,Lawyer	Stop	",120.786
5992,"Field|Partner	Dream	Key
Its|Understand	Piece|",70.23266,"This	Someone
Affect	Step Customer Look	Military Green
",127.1388
5993,Service	,68.73753,"Race,Eat;Education
Recognize|Data;Near;",144.4456
5994,"Similar|Top|Meet,Mean Candidate,Quickly;Our|",69.49503,,132.1904
5995,"Nation;Condition	Church,Red,Lose,Admit
Believe,Fire;",67.25261,"Including
Wind	Threat;End	End	Drive|Past,Financial
",137.7559
5996,"Determine Small;Final	Window,East|Well
Her
",71.46246,"Image;Future
Performance
Little|Series	Down;Guy	Subject|",141.305
5997,"Order Southern|Herself
Main	Experience Decision	Evidence,",67.7491,"Budget;So
Item	Travel|Course|Moment|Public|",139.5633
5998,,68.80025,Soldier;,128.2314
5999,World;Not ,66.8725,"Fast
Particularly,Middle
Allow,Baby
Office;Growth,Own;Citizen,True,",119.1075
6000,"Center Behavior
Difference,",68.4765,"Window Charge
",120.8274
6001,"Drive Traditional
Everyone ",64.86316,"Although,Teacher
Rate,Report|",116.4621
6002,"East	Compare	Hold;Get|Happen Approach	After;Understand;With
Safe	",67.91753,"His	Above,Development Evidence
",139.5891
6003,,67.84233,"Room
",138.0376
6004,"Though;Third
Sometimes
Note|",69.38148,Act|Purpose	Sound;,124.8913
6005,Marriage;,66.94613,,127.2921
6006,"Either
Success|Factor;Break
Put
Skin;I	So	",67.45924,"Policy|Guess;Appear|Piece|Few|Under
",117.4689
6007,"Sometimes,Mouth	Game
",69.99586,"Partner Coach|The,Understand;",132.8246
6008,"Word
Similar	",67.45856,"Prove
Respond
Scientist,",123.6045
6009,"Could	Must	Before,Threat;Computer;Medical|Effort;Pm Sense ",64.09151,,138.3749
6010,"Best,Add;With	",66.37835,"Down,Mean;Or
",122.9717
6011,"Just,Front Each;Population,Argue
Fire
Section
Fund,Lay	Line
",70.12316,State|Budget;Reality|Parent|,122.3759
6012,Recently Grow	,67.34219,,121.3154
6013,,70.14728,"Position
",136.3431
6014,Star|Attack ,69.0379,"Maybe;Affect,Admit|General;",123.907
6015,Room;,67.0297,"With,These|Likely	Statement	Side	",107.5287
6016,"Western,",64.85652,"Mission,Environmental
Who Require North	Herself,Conference
Face;",130.1924
6017,"Whose|All Strong;Then Again|Suddenly|Wait,",65.94007,Mission|Land	,109.5656
6018,"Allow	Eight Sound
Close
Own	Across Benefit|Thank|",64.69116,"Religious|Might|Develop;Quality,Everyone,Night|Public Baby;",115.9239
6019,"Let Heart Near;Southern,",62.53019,Important|,109.5766
6020,"Six|Research,Early	Article,Catch	",67.78541,"Success Tax	Military;Down
",124.236
6021,"Town,Center,Him|Far,Heavy	Table
Dinner,Skin Traditional;",68.27657,"Address;Song,Seem;Top|Mention Book|Chance	Drug	Very	",133.3359
6022,"Recently Thousand,Writer Organization
Treatment,Far,Skin;",65.93553,"Low
Item	Us;Think
Build
Thing
",118.4802
6023,"Third
Until
A ",67.48252,"Machine
Every
Until Career;Country Like;Into|Series	Smile	",120.3425
6024,Reflect	Assume|,67.80949,"Success Perhaps,Whom;There Pm Or,Challenge	Certainly|",131.0862
6025,"Door,Card Woman	Gas	Executive;Line	Sound|Wind,Need;Parent	",70.04498,"Voice,Material Head Public,Final;Beautiful	Who;Mind
",129.9862
6026,Buy|Thank Situation;Present Voice	,66.0988,"Far,",121.7657
6027,"Dark
Level ",67.87462,,145.1821
6028,"Safe|Financial	Coach	Visit
Decision	",65.04519,"Two,Analysis	Although	",134.0519
6029,Fall ,64.96125,"Wife|Bill	Common
Effort	May	Kind Picture|",105.489
6030,"Decade
Central|Perform	Open
Dark,Hand
Agency;Size ",64.82767,House|Laugh	,112.1873
6031,"Election|Same	Evening|Blood;Pull
Move;Red|",70.08844,"You;Push	Investment
Today|Laugh
Accept,",137.1698
6032,"Beyond;Financial|Attack;Arrive
Talk|Explain ",70.70944,"Source|Ago;Country,Key	",142.7307
6033,Go	Need;Performance;,66.80032,Quite	,123.4484
6034,"How;Many|Carry,Week|Leader;Partner;Arrive
",67.14141,"Support
Director,Race
",120.8645
6035,Full Item	More|,67.04259,"Drive;Structure,Include;",135.9558
6036,"Receive|Old	Ready;Total
Do	Include
",68.48662,"Discuss	Whether;Wonder	Audience Exist,Strategy
Foot|",148.4587
6037,Personal|Check;Page;Medical	Grow|,72.31757,"Language Value;Whom Want,Difficult;",144.881
6038,"Both Present
Sport|Tree Item,",66.47968,"Organization,",139.3578
6039,"Last
Operation;Guy Future|Else;",66.82557,"All,Because Beautiful
Car,Edge Training	Alone
",109.1264
6040,Bring Watch Building;,70.06934,"Idea,Debate,",135.3785
6041,"Happy
Child;At;",67.217,"Western Spend
East	",113.8089
6042,Relate|Practice|,67.12457,"Subject
Small Reality	Forget
Technology,Fear;",148.5183
6043,"Discussion;Bed;Floor,Break Tree
Pressure
Attack,Prove;Another,",68.4131,"Soon	Person
",144.8827
6044,"Life
Indeed Congress Fill,Group,Someone|",66.02919,Congress	Away	,114.9248
6045,"Account
Way Stock;Many	Want Have	Reduce Finally;And	Above,",66.84654,"World	Feeling,Fast	",114.9225
6046,"Word Area,Month What,World Even;Measure
Poor Late;",68.94666,"Cut|Spend,Eat Manager,Child	Available,We;",122.8046
6047,"Send	Program,Property
Me,Husband	Style Hear;Fight
Our
Win|",68.91853,"Lose|War|Party House,Practice,Successful As
Nearly,Water
",133.5443
6048,"Management	Perform,Story	Arrive
Be|Collection
",65.5914,"Develop,",131.9386
6049,"Spring|Nearly Own|Situation;Run,Pick|Cultural	Woman|Around;Meeting,",65.51261,"Director
Your;Owner;Scientist;Drive,Send;",120.6623
6050,"Example
Rest;Senior	Environment|Design|",69.27083,,145.653
6051,Cell|,69.57316,Return ,130.7801
6052,"Deep|Paper
",67.86325,"Here Level,High Realize,News;Continue,Plan	",118.8413
6053,"Animal	Agent,Participant Join
Ahead;",72.33364,"Least,Suddenly;Contain	Himself|Hear,",133.6214
6054,"Nice,Scientist
Ball,Example	While Learn,Ago Lead,Final
Something	",67.21175,"Clear	Dog,Agree,Positive	",104.1953
6055,My Door	Marriage Imagine|,68.83481,"Small	Control Local,Hundred,I,Step;Measure
Though,",117.464
6056,"Although,",68.46136,"Direction Single|End
Certainly;Election	",145.8766
6057,"Likely;Feel
Nice|Fear Inside;Free;Exist;Live;Film|Service,",68.1713,"Scientist	Big,Tell	",135.6227
6058,Serve	,69.69391,"Effort
",129.1389
6059,"View	Firm|Less;Why,Pass
Next;Water|Ever|True	",67.12571,"Art	Describe Science,Expert,",149.7706
6060,Claim	Firm	,70.36279,"Sell
Significant,Respond|Teach	Week	Five Even
",134.1039
6061,,71.4732,"Bank,Fill
Perform,Power;Nature	",143.9365
6062,"Alone,Option ",68.51565,"Worker;Bed	Century
Financial
Compare	Low;",132.4801
6063,"Total
Without Final	Most	Keep
Dark	Focus	Understand
",70.06817,"Run	Reduce Production;Pass
Use;Machine
Center Left,Pretty	",149.4329
6064,Each ,68.04516,"From;Hundred
",132.5979
6065,"Present Yourself|Money Director Media|Describe
Cut;Against;Now Tough,",67.47227,"Avoid,Every
Provide,Expert;Understand
Support,Right	Miss;Charge|Inside ",133.6407
6066,"Certain;Fact|Our
Usually
Pm
Marriage
Information;Long|Consumer;",70.56501,"Hard|You|Five,",147.4583
6067,"City	A Including,Much	",67.64197,"Fish
Happen
Letter;Run	Specific,Little
Option Start;Force	Amount|",100.025
6068,"Onto|Happy
Time;Ahead|Take	Call
Provide;Bar	Measure
",72.23026,Per|Will;Team;,140.2179
6069,,67.45255,"Its	Truth Image|Create;Building Happen	Despite Line;State,",120.8849
6070,,66.97768,"Anyone
Yeah;Sound In	Somebody Between
Coach|Usually;",109.3834
6071,,67.28894,"Sister
Something|",136.1833
6072,"Go;Public,Standard,",66.02667,"Picture;Difficult
Open	Research,Carry
Collection About ",115.1345
6073,"Available,Over
Consumer
Firm
Magazine,Support;",64.15728,"Recent,Party;Myself,Magazine ",130.0889
6074,"Each
Surface;Enough	Affect	Team,",67.78574,Mother|Yes Experience	,131.8054
6075,"Commercial,Activity
",71.05897,,125.119
6076,"Image|Question Thing Need West;Organization,Either|",68.55136,"Throughout	Garden|Instead	Society|Past,",149.0059
6077,"Cover|Answer;Save By,Carry
End
Board,Board Claim ",71.11228,"Customer	Understand Focus,Draw,You|Health Off Quite ",129.2335
6078,"Of|Better,Discussion;Church
",65.22518,"Dinner;Picture,Lay Me	His|Above|Effect;Theory;",120.5247
6079,"Source
History|Share,Single Upon,",67.13777,"Edge|Deep
Agent Simply;Answer Skill
Rule ",123.2162
6080,"In	Tax
",67.98084,"What,",117.4022
6081,"Use	Ago,Consider
Tv,Reach Figure,Feel	Together	",67.45039,"Fight,Center
Method	Easy,",106.9632
6082,"Question,Million
",67.58732,"Important Project|Kind,Might Reflect|Seven;Such|Account	",119.6435
6083,"Certain|Fight|Participant|Activity|Leader,Past,Image;Feel	Probably ",67.40106,"Herself;Green
Mission	Respond	Season,Really
Art,",134.1122
6084,"Market;Nothing;Arm,Travel,Themselves|Now;",69.75732,"Case
Cover
Various,",129.9282
6085,"We|Official;Finally;Never,Goal
By,Along,School ",67.78374,"Government	Little Cup Show	Treatment|Would	Natural
",130.1554
6086,"Sit
White;Against Buy;Contain;Of	Money;Boy
With,Happy ",65.01631,"Congress;Foot	National|Everything,",106.8729
6087,"Four;Father	Whatever,Audience	Chair ",68.98708,"Election	Military	While	Could	Size
",126.6898
6088,"Indicate	Prove;Break;Miss|Discuss;Could|Hit
Few	",67.84236,"Wind|Choice
Military,Mr Sometimes,",115.7457
6089,Brother Reality|Turn ,70.91418,,130.1665
6090,"War,Itself	Remember	Particular;Bar	Certainly|Test|Yes;",68.44803,Visit	Song;Name	Central ,110.8115
6091,"Yes
Itself Successful,Good	Close Wind|",63.23903,,119.8366
6092,"Kitchen,Able	Evening,Such;Popular|Man	",66.75371,Reality	,113.1127
6093,"South;Physical|Structure
Cultural
Discussion;Throughout
Almost Agent|Huge;Me	",66.13148,Interview;More;,118.4705
6094,"Two,Hand,Deep,If
Throw;Moment
Rest|Take;Positive;Deep|",66.57052,Movement	Federal Moment Grow;Instead Middle	,135.6863
6095,"And Data,Night
Bar|Station;Indicate
Food,National,Care,",68.43743,"History
Husband|Relationship;Focus;Develop
Part	Market	Serious;Today;",111.4731
6096,"Foreign;The,Even|Society
Continue	Mouth Measure
",68.12826,,129.3106
6097,"Beyond|Prevent;Southern	Or	Down Under
",65.66194,,116.9965
6098,"Drop
Sure Beautiful
Threat Down|",68.64587,"Weight,Face,Industry,Report|People|Me	Impact
",128.6098
6099,"Less;Care|Entire|Partner Fine|Tonight,Nothing|Yes;",67.01908,,137.8634
6100,"Nothing,Air,Call
",66.3869,"Central
Main ",135.486
6101,,67.43419,"Turn Name,Tell	Reality	",112.9047
6102,"Throughout
Second
Write,Month	Above	Growth,Military,Level,Term;",67.0218,"Eat
Recent	Different,May
Figure	Nothing|Suddenly	Plan
Hotel;",143.1287
6103,Often|,70.98964,"He|Box;Religious Will
Seven,Agent By ",136.9279
6104,"Maintain	Painting,Magazine	Floor
",64.47574,Everyone|Explain	Condition|Poor	Child|Someone|Win ,113.9935
6105,Effect;Onto|Current	Environmental Field	,66.48783,"Expect Particularly
Friend|First ",121.2945
6106,None|Site|,68.28864,Position|,130.4347
6107,,66.11987,,133.8865
6108,Experience|Health|Growth Blue	Suddenly;Majority ,68.73539,Fire;Positive|Black;West Happy|Cost|Against|Sea ,153.3002
6109,Example|,67.61776,"Which
",123.3522
6110,"Throw;Recognize Degree	Rather	Report;Down,",65.99257,"Responsibility,Return;Yard Government	Performance;Participant
Trouble|Although;Bank,Stand;",105.2183
6111,,71.79273,Enter ,144.2173
6112,Know	Industry|Risk	News|When|Various Though|Idea Accept Grow|,69.76151,Two;Claim Capital|,155.9849
6113,"Involve;Resource;Share Shoulder Six
Foreign;Use A;",67.65103,"Camera Interest Source	Investment
Father|Environmental;",111.6875
6114,"Capital;Seat Network|Since
Marriage ",64.82727,"Before
Present Reflect,",125.8154
6115,"Degree;Wait Them Republican
",68.38678,,121.5078
6116,"Draw Family Item Economy	Section,President
Station,Very	White;Effort ",68.35981,Minute;From Behind|,129.6506
6117,,67.56773,,116.2672
6118,"Speak,Small;Lot Short|Pattern,Market,",67.70372,"Paper
",125.3254
6119,"Need,Many
Approach	Save
Than|Design;Outside;Nature,Scientist Analysis,",70.42781,"Station,Growth	Require	There	",165.7172
6120,"Finally Hold;Common	Middle Soldier|Project|Not,Save ",66.27416,"Anyone;Soldier;Finally|Administration;Already	Cup,Cost
Effect;",133.3637
6121,"Instead|Indicate;Consumer
Interesting;",68.61263,"Across Worry,Staff,Growth|Many;",145.4779
6122,"Trouble
Bag;",69.9746,,135.8348
6123,"Film
Risk,Sing,Other,Machine;Always,Common;Particular,Price|",69.38629,,130.2342
6124,Political	,63.38805,"Tell|Morning|Near,",114.0297
6125,Look|Father;,68.40181,"Couple;Respond|Their
Structure,Risk Official,Culture ",117.6173
6126,"Low	It Center|Reason
Pretty ",65.89607,"Than,Back,Simply
Position;Spring;Full
Find
Some|Card
",123.5651
6127,"Whom|Type;Watch|Wrong;Physical	Research
Author;Despite,",66.25442,"Community Son,Teacher,Election|Say,Respond
Politics	Main,Continue,Lawyer;",124.9826
6128,Respond;Understand;,68.43563,,131.054
6129,"Occur;Official Prepare	Threat;Inside Right;Policy|Like
Policy ",68.43069,"Arm,Former Network,But Floor;Hair Thought
Community	Skin	",152.1767
6130,"Court	Picture
Type Back;Road Store	Mention	By;Trip	Ago,",67.44333,"Me,Good;Newspaper,Can
Team,",118.6275
6131,"General	Four Author|Pass Cultural,Hard;Draw,Everybody
Beat
",68.75899,You|,112.2566
6132,"Drug;Market|Economy|Kind	According	Degree|Entire,",65.87903,"Best,Section|Style|Particular
Need
Case|Sound|",127.7575
6133,"Life|Guy	Much Better
Fish|Tree|",67.3794,"Either|Color
Appear|Focus Western ",120.4361
6134,"None;Series
",67.20197,"No|Long|Drop
Later|South,Cell
Party
",104.816
6135,"So,",71.72566,"Light
Buy
Type|Knowledge Not|Couple|Wait;World,Edge
",119.2446
6136,"Product|Use,Century,Current	Nearly;Trade;Until|",68.326,"Forward	Television|Specific	May|Suddenly,Side|Read;",125.8377
6137,"Wrong
",69.07214,"Yeah,This
Little
Road
These	Her
",131.3704
6138,"Field;Decade
Senior	Chance
Process|Learn;They
Ever
Value,Never|",70.39663,"End;Trouble|Where|Culture
Last Rate,Moment By	Might,",125.35
6139,"Sign
",68.46942,"Rise	Serve,Myself;Computer Hour ",118.3351
6140,"Contain,Fund	",70.75069,"Trial;Rock;Process
Foot
Road	Situation Far
",129.7989
6141,Improve Benefit Mr	Whether Treat;,68.25077,"Cost,Color;How;Improve;View;Recent ",126.6471
6142,"Girl|Keep Hot
On	Campaign;Practice|Free,Cost Goal;",69.4218,Positive;,129.0352
6143,"Determine
Pattern
Investment,Not;Store
Word;",67.75693,Officer	Area Understand;,134.8437
6144,"Visit
Husband;Financial;Keep;Young Listen Institution,Area|Indicate|Attorney;",68.78237,"Street,Mrs Board;Image	Certainly	Court|Authority	Worry;Exactly,Trip	",150.5262
6145,"Until;At Set Gun	While	Three Force|View
",68.93468,Catch|South ,132.4508
6146,"Reveal
Face;Trip;Space
Late;Less;Can Door
Leg|Many;",64.36411,"Process Far;Sea Group,Within	Director	Shake,Floor|Need;Increase
",131.0136
6147,"Teacher;Section;Fill;Mrs
Knowledge|",69.45069,Key	,151.8922
6148,"Ready
Maybe	Alone	Go|Sea Fire|Social|",68.70335,"Ago;Prepare;Not;Language;Truth
Whatever|Four;",122.5303
6149,"Another,In|Color;Factor|Audience Within
Edge,",69.17716,"Serious,Start,Whose;Work Wrong	",127.2585
6150,"Kitchen
Character Teacher
Point Address	Need|",73.32701,"Professor
Less;Pull	Two,Alone	Senior	",147.9296
6151,"Gas
Local
Bill
",69.01245,"Individual|Analysis	Especially|Mr
",108.8242
6152,"Reason,",65.2012,"Soon,Member Very
Expect|Almost Standard
Head
",127.7629
6153,"Learn;Road	Station	Customer;Simple	Also
Son;",67.65215,Capital;Participant	,130.3
6154,"For	Spring Plant,Including;Fall|Computer Black	",68.59028,"Threat
So;That|For	Hope,Recognize	Either;Instead
Election,",124.4653
6155,"Often
Range ",70.1527,Fire|If;,159.2435
6156,Skill|Sound;Large Table|Sure;,70.35282,After Pm Respond City ,130.4261
6157,"Expert Wish	Drug
For;",67.14863,"Information Fast;Face;Speak,Education
Teacher;Moment,",144.1876
6158,"Me;Degree
",72.11654,"Participant Visit	Now,Daughter;",136.8595
6159,"Center
Stop|Owner	Spend;Study,Small
Model Woman,Name;",64.54112,"Without,East	",105.9232
6160,Area ,68.94058,"Floor	Case
Speak Represent Degree;Read
Last,Big,Art
",131.888
6161,"Work|Last Trade,Seat;Necessary
Throw;",68.18651,,129.5985
6162,"Nature Star,Executive	Couple;Land;Mission,Present ",72.69199,"Any;Manage,Can|Either Effort President|Mention
Education,Suffer;",121.7006
6163,"Doctor
Fund|Court
",68.2263,"Lead,Weight;Trade,",128.3129
6164,"National,Business,White Performance
",70.40403,"All Newspaper
",130.5713
6165,,65.32887,"Because
Learn
Whatever	Move,Throw	Include ",126.0176
6166,"Difficult	Plan
Toward Despite,According|Event;Decide,",65.29057,"Authority	Every,Feeling;Health|Sister|Discussion	",109.782
6167,"Standard
",65.58939,"Able,Tend;How	Daughter	Reason,Discover,Discover ",109.7956
6168,"Available	Law Figure
Wall
Customer;Add
Realize	Get ",65.28916,You;Defense;Word;He	,128.021
6169,"Human,Another;Learn|Prevent Minute,Idea	",69.91649,,132.3785
6170,"Particularly|Hour	Take Who|Some
",66.59848,"Town
According
Walk;Care Prove;Attention	Fish,Production
",127.7981
6171,"Task|Green
Head;Discussion
In;",69.24885,"Environmental;Shake
Television
Issue
Man;Prepare
Often,",133.7892
6172,,68.81944,"Party
",124.2264
6173,With Behavior	,68.79688,"Write;World	Picture,Stay,Project,Energy|Stage Specific;What;",122.0913
